branch_name,compartment
B_GB_93_P4_LN_18L,LN
B_GB_93_P4_LG_16N,LG
B_GB_93_P4_LG_25N,LG
B_GB_93_P4_LG_40N,LG
B_GB_93_P4_LG_29N,LG
B_GB_93_P4_LG_37N,LG
B_GB_93_P4_LG_4N,LG
B_GB_93_P4_LG_44N,LG
B_GB_93_P4_LN_3L,LN
B_GB_93_P4_LN_49L,LN
B_GB_93_P4_LG_22N,LG
B_GB_93_P4_BR_10A,BR
B_GB_93_P4_LG_26N,LG
B_GB_93_P4_BR_31P,BR
B_GB_93_P4_BR_3A,BR
B_GB_93_P4_LG_27N,LG
B_GB_93_P4_LN_39L,LN
B_GB_93_P4_LG_36N,LG
B_GB_93_P4_LN_5L,LN
B_GB_93_P4_LG_24N,LG
B_GB_93_P4_BR_21A,BR
B_GB_93_P4_LN_17L,LN
B_GB_93_P4_LN_1L,LN
B_GB_93_P4_BR_17B,BR
B_GB_93_P4_LN_24L,LN
B_GB_93_P4_LN_42L,LN
B_GB_93_P4_LN_47L,LN
B_GB_93_P4_BR_43B,BR
B_GB_93_P4_BR_14A,BR
B_GB_93_P4_LG_41N,LG
B_GB_93_P4_BR_24B,BR
B_GB_93_P4_BR_7B,BR
B_GB_93_P4_BR_1B,BR
B_GB_93_P4_BR_14B,BR
B_GB_93_P4_BR_40B,BR
